Type;FromPath;FromClass;FromEntity;FromLineNo;Relations;ToPath;ToClass;ToEntity;ToClassType;ToLineNo
CBO;wizmachine/data/sprdata.cs;SprFileHead;ToUnsafe;127;CALLS;wizmachine/data/sprdata.cs;US_SprFileHead;SetReserved;CLASS;39
CBO;wizmachine/data/sprdata.cs;SprFileHead;ToUnsafe;127;CALLS;wizmachine/data/sprdata.cs;US_SprFileHead;SetVersionInfoStr;CLASS;31
CBO;wizmachine/data/sprdata.cs;SprFileHead$SprFileHeadCache;SprFileHeadCache;168;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Runtime.dll;Array;Copy;CLASS;0
CBO;wizmachine/data/sprdata.cs;SprFileHead$SprFileHeadCache;SprFileHeadCache;168;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Runtime.dll;Array;Copy;CLASS;0
CBO;wizmachine/data/sprdata.cs;SprFileHead$SprFileHeadCache;ToUnsafe;260;CALLS;wizmachine/data/sprdata.cs;US_SprFileHead;SetReserved;CLASS;39
CBO;wizmachine/data/sprdata.cs;SprFileHead$SprFileHeadCache;ToUnsafe;260;CALLS;wizmachine/data/sprdata.cs;US_SprFileHead;SetVersionInfoStr;CLASS;31
CBO;wizmachine/data/sprdata.cs;Palette;Palette;398;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Runtime.dll;Array;Copy;CLASS;0
CBO;wizmachine/data/sprdata.cs;Palette$PaletteCache;PaletteCache;341;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Runtime.dll;Array;Copy;CLASS;0
CBO;wizmachine/data/sprdata.cs;FrameRGBA;get_modifiedFrameRGBACache;492;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Runtime.dll;Array;Copy;CLASS;0
CBO;wizmachine/data/sprdata.cs;FrameRGBA$FrameRGBACache;ResetPaletteColorChangedIndex;619;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Collections.dll;Dictionary;Clear;CLASS;0
CBO;wizmachine/data/sprdata.cs;FrameRGBA$FrameRGBACache;SetPaletteColorChangedIndex;625;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Collections.dll;Dictionary;ContainsKey;CLASS;0
CBO;wizmachine/data/sprdata.cs;FrameRGBA$FrameRGBACache;GetPaletteColorChangedIndex;637;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Linq.dll;Enumerable;ToArray;CLASS;0
CBO;wizmachine/data/sprdata.cs;FrameRGBA$FrameRGBACache;GetPaletteColorChangedIndex;637;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Linq.dll;Enumerable;Select;CLASS;0
CBO;wizmachine/data/sprdata.cs;FrameRGBA$FrameRGBACache;GetChangedPaletteColors;641;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Linq.dll;Enumerable;ToArray;CLASS;0
CBO;wizmachine/data/sprdata.cs;FrameRGBA$FrameRGBACache;GetChangedPaletteColors;641;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Linq.dll;Enumerable;Select;CLASS;0
CBO;wizmachine/enginekeeper.cs;EngineKeeper;ForceCheckCallingSignature;22;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Runtime.dll;Assembly;GetCallingAssembly;CLASS;0
CBO;wizmachine/enginekeeper.cs;EngineKeeper;ForceCheckCallingSignature;22;CALLS;wizmachine/utils/certmanagerutil.cs;CertManagerUtil;ForceCheckCert;CLASS;38
CBO;wizmachine/services/base/isprworkmanagercore.cs;ISprWorkManagerCore;InitWorkManagerFromSprFile;38;CALLS;wizmachine/utils/extension.cs;SharpExtension;Also;CLASS;102
CBO;wizmachine/services/base/isprworkmanagercore.cs;ISprWorkManagerCore;InitWorkManagerFromSprFile;38;CALLS;wizmachine/services/utils/nativeengine.cs;NativeAPIAdapter;LoadSPRFile;CLASS;164
CBO;wizmachine/services/base/isprworkmanagercore.cs;ISprWorkManagerCore;InitWorkManagerFromSprFile;59;CALLS;wizmachine/utils/extension.cs;Extension;BinToStruct;CLASS;27
CBO;wizmachine/services/base/isprworkmanagercore.cs;ISprWorkManagerCore;InitWorkManagerFromSprFile;59;CALLS;wizmachine/utils/extension.cs;SharpExtension;Let;CLASS;97
CBO;wizmachine/services/base/isprworkmanagercore.cs;ISprWorkManagerCore;SaveCurrentWorkToSpr;81;CALLS;wizmachine/utils/extension.cs;SharpExtension;Apply;CLASS;92
CBO;wizmachine/services/base/isprworkmanagercore.cs;ISprWorkManagerCore;SaveCurrentWorkToSpr;81;CALLS;wizmachine/utils/extension.cs;SharpExtension;Also;CLASS;102
CBO;wizmachine/services/base/isprworkmanagercore.cs;ISprWorkManagerCore;SaveCurrentWorkToSpr;81;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Linq.dll;Enumerable;ToArray;CLASS;0
CBO;wizmachine/services/base/isprworkmanagercore.cs;ISprWorkManagerCore;SaveCurrentWorkToSpr;81;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Linq.dll;Enumerable;SelectMany;CLASS;0
CBO;wizmachine/services/base/isprworkmanagercore.cs;ISprWorkManagerCore;SaveCurrentWorkToSpr;81;CALLS;wizmachine/utils/logger.cs;Logger$Raw;D;CLASS;61
CBO;wizmachine/services/base/isprworkmanagercore.cs;ISprWorkManagerCore;SaveBitmapSourceToSprFile;153;CALLS;wizmachine/utils/bitmaputil.cs;BitmapUtil;ConvertBitmapSourceToByteArray;CLASS;325
CBO;wizmachine/services/base/isprworkmanagercore.cs;ISprWorkManagerCore;SaveBitmapSourceToSprFile;153;CALLS;wizmachine/utils/bitmaputil.cs;BitmapUtil;CountColors;CLASS;280
CBO;wizmachine/services/base/isprworkmanagercore.cs;ISprWorkManagerCore;SaveBitmapSourceToSprFile;153;CALLS;C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\6.0.20\ref\net6.0\System.Linq.dll;Enumerable;ToArray;CLASS;0
