Metric;Path;Entity;Value;LineNo;Violation
CC;wizmachine/data/sprdata.cs;SetVersionInfoStr;2;23;N
CC;wizmachine/data/sprdata.cs;SetVersionInfoStr;2;31;N
CC;wizmachine/data/sprdata.cs;SetReserved;2;39;N
CC;wizmachine/data/sprdata.cs;GetVersionInfoStr;2;47;N
CC;wizmachine/data/sprdata.cs;GetVersionInfo;2;58;N
CC;wizmachine/data/sprdata.cs;GetReserved;2;68;N
CC;wizmachine/data/sprdata.cs;SprFileHead;1;104;N
CC;wizmachine/data/sprdata.cs;get_modifiedSprFileHeadCache;2;94;N
CC;wizmachine/data/sprdata.cs;ToUnsafe;1;127;N
CC;wizmachine/data/sprdata.cs;IsNotEmpty;1;147;N
CC;wizmachine/data/sprdata.cs;CreateSprFileHead;1;152;N
CC;wizmachine/data/sprdata.cs;SprFileHeadCache;1;168;N
CC;wizmachine/data/sprdata.cs;get_globalWidth;1;190;N
CC;wizmachine/data/sprdata.cs;set_globalWidth;1;194;N
CC;wizmachine/data/sprdata.cs;get_globalHeight;1;201;N
CC;wizmachine/data/sprdata.cs;set_globalHeight;1;205;N
CC;wizmachine/data/sprdata.cs;get_offX;1;212;N
CC;wizmachine/data/sprdata.cs;set_offX;1;216;N
CC;wizmachine/data/sprdata.cs;get_offY;1;223;N
CC;wizmachine/data/sprdata.cs;set_offY;1;227;N
CC;wizmachine/data/sprdata.cs;get_Interval;1;234;N
CC;wizmachine/data/sprdata.cs;set_Interval;1;238;N
CC;wizmachine/data/sprdata.cs;get_FrameCounts;1;245;N
CC;wizmachine/data/sprdata.cs;set_FrameCounts;1;249;N
CC;wizmachine/data/sprdata.cs;ToSprFileHead;1;255;N
CC;wizmachine/data/sprdata.cs;ToUnsafe;1;260;N
CC;wizmachine/data/sprdata.cs;InitFromSprFileHead;1;280;N
CC;wizmachine/data/sprdata.cs;PaletteColor;1;294;N
CC;wizmachine/data/sprdata.cs;op_Equality;1;302;N
CC;wizmachine/data/sprdata.cs;op_Inequality;1;307;N
CC;wizmachine/data/sprdata.cs;Equals;3;312;N
CC;wizmachine/data/sprdata.cs;GetHashCode;1;330;N
CC;wizmachine/data/sprdata.cs;Palette;1;392;N
CC;wizmachine/data/sprdata.cs;Palette;1;398;N
CC;wizmachine/data/sprdata.cs;PaletteCache;1;341;N
CC;wizmachine/data/sprdata.cs;get_this[];2;349;N
CC;wizmachine/data/sprdata.cs;set_this[];2;358;N
CC;wizmachine/data/sprdata.cs;get_Data;1;370;N
CC;wizmachine/data/sprdata.cs;get_modifiedPalette;2;382;N
CC;wizmachine/data/sprdata.cs;IsContain;3;405;N
CC;wizmachine/data/sprdata.cs;IsSame;3;416;N
CC;wizmachine/data/sprdata.cs;op_Equality;4;425;N
CC;wizmachine/data/sprdata.cs;op_Inequality;1;438;N
CC;wizmachine/data/sprdata.cs;Equals;3;443;N
CC;wizmachine/data/sprdata.cs;GetHashCode;1;462;N
CC;wizmachine/data/sprdata.cs;get_modifiedFrameRGBACache;2;492;N
CC;wizmachine/data/sprdata.cs;IsFrameSizeChanged;1;507;N
CC;wizmachine/data/sprdata.cs;FrameRGBACache;1;520;N
CC;wizmachine/data/sprdata.cs;get_frameWidth;1;534;N
CC;wizmachine/data/sprdata.cs;set_frameWidth;1;538;N
CC;wizmachine/data/sprdata.cs;get_frameHeight;1;545;N
CC;wizmachine/data/sprdata.cs;set_frameHeight;1;549;N
CC;wizmachine/data/sprdata.cs;get_frameOffX;1;556;N
CC;wizmachine/data/sprdata.cs;set_frameOffX;1;560;N
CC;wizmachine/data/sprdata.cs;get_frameOffY;1;567;N
CC;wizmachine/data/sprdata.cs;set_frameOffY;1;571;N
CC;wizmachine/data/sprdata.cs;get_modifiedBGRAData;1;579;N
CC;wizmachine/data/sprdata.cs;set_modifiedBGRAData;1;583;N
CC;wizmachine/data/sprdata.cs;toFrameRGBA;1;590;N
CC;wizmachine/data/sprdata.cs;SetCopiedPaletteData;1;595;N
CC;wizmachine/data/sprdata.cs;GetFramePaletteData;1;600;N
CC;wizmachine/data/sprdata.cs;get_paletteColorChangeIndexCache;2;609;N
CC;wizmachine/data/sprdata.cs;ResetPaletteColorChangedIndex;1;619;N
