Metric;Path;Package;Class;LineNo;Value;ClassType;Violation
LOC;wizmachine/services/base/isprworkmanageradvance.cs;;ISprWorkManagerAdvance;7;25;CLASS;N
LOC;wizmachine/data/certdata.cs;;CertInfo;10;10;CLASS;N
LOC;wizmachine/data/sprdata.cs;;US_SprFileHead;9;63;CLASS;N
LOC;wizmachine/data/sprdata.cs;;SprFileHead;79;83;CLASS;N
LOC;wizmachine/data/sprdata.cs;;SprFileHead$SprFileHeadCache;165;116;CLASS;N
LOC;wizmachine/data/sprdata.cs;;PaletteColor;287;44;CLASS;N
LOC;wizmachine/data/sprdata.cs;;Palette;335;84;CLASS;N
LOC;wizmachine/data/sprdata.cs;;Palette$PaletteCache;338;35;CLASS;N
LOC;wizmachine/data/sprdata.cs;;FrameOffsetInfo;467;5;CLASS;N
LOC;wizmachine/data/sprdata.cs;;FrameInfo;473;7;CLASS;N
LOC;wizmachine/data/sprdata.cs;;FrameRGBA;481;28;CLASS;N
LOC;wizmachine/data/sprdata.cs;;FrameRGBA$FrameRGBACache;512;130;CLASS;N
LOC;wizmachine/enginekeeper.cs;;EngineKeeper;10;33;CLASS;N
LOC;wizmachine/services/base/isprworkmanagercore.cs;;ISprWorkManagerCore;13;171;CLASS;N
LOC;wizmachine/services/impl/sprworkmanageradvance.cs;;SprWorkManagerAdvance;11;243;CLASS;N
LOC;wizmachine/services/impl/sprworkmanagercore.cs;;SprWorkManagerCore;13;576;CLASS;Y
LOC;wizmachine/services/utils/nativeengine.cs;;NativeEngine;11;36;CLASS;N
LOC;wizmachine/services/utils/nativeengine.cs;;NativeEngine$NFrameInfo;13;7;CLASS;N
LOC;wizmachine/services/utils/nativeengine.cs;;NativeEngine$NFrameData;21;9;CLASS;N
LOC;wizmachine/services/utils/nativeengine.cs;;NativeEngine$NSPRFileHead;31;15;CLASS;N
LOC;wizmachine/services/utils/nativeengine.cs;;NativeEngine$NColor;47;6;CLASS;N
LOC;wizmachine/services/utils/nativeengine.cs;;NativeEngine$CertInfo;91;10;CLASS;N
LOC;wizmachine/services/utils/nativeengine.cs;;NativeAPIAdapter;109;139;CLASS;N
LOC;wizmachine/utils/bitmaputil.cs;;BitmapUtil;11;424;CLASS;N
LOC;wizmachine/utils/certmanagerutil.cs;;CertManagerUtil;13;38;CLASS;N
LOC;wizmachine/utils/colorutil.cs;;ColorUtil;7;57;CLASS;N
LOC;wizmachine/utils/extension.cs;;Extension;9;55;CLASS;N
LOC;wizmachine/utils/extension.cs;;SharpExtension;73;163;CLASS;N
LOC;wizmachine/utils/logger.cs;;Logger;8;38;CLASS;N
LOC;wizmachine/utils/logger.cs;;Logger$Raw;59;16;CLASS;N
