RelationType;FromEntity;FromPath;FromLine;ToEntity;ToPath;FromClass;ToClass;RelationCount;FromModule>ToModule;Key;Violation
CALLS;ToUnsafe;wizmachine/data/sprdata.cs;127;SetReserved;wizmachine/data/sprdata.cs;SprFileHead;US_SprFileHead;1;;;N
CALLS;ToUnsafe;wizmachine/data/sprdata.cs;127;SetVersionInfoStr;wizmachine/data/sprdata.cs;SprFileHead;US_SprFileHead;1;;;N
CALLS;ToUnsafe;wizmachine/data/sprdata.cs;260;SetReserved;wizmachine/data/sprdata.cs;SprFileHead$SprFileHeadCache;US_SprFileHead;1;;;N
CALLS;ToUnsafe;wizmachine/data/sprdata.cs;260;SetVersionInfoStr;wizmachine/data/sprdata.cs;SprFileHead$SprFileHeadCache;US_SprFileHead;1;;;N
CALLS;ForceCheckCallingSignature;wizmachine/enginekeeper.cs;22;ForceCheckCert;wizmachine/utils/certmanagerutil.cs;EngineKeeper;CertManagerUtil;1;wizmachine/{root}>wizmachine/utils;1;N
CALLS;InitWorkManagerFromSprFile;wizmachine/services/base/isprworkmanagercore.cs;38;Also;wizmachine/utils/extension.cs;ISprWorkManagerCore;SharpExtension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;InitWorkManagerFromSprFile;wizmachine/services/base/isprworkmanagercore.cs;38;LoadSPRFile;wizmachine/services/utils/nativeengine.cs;ISprWorkManagerCore;NativeAPIAdapter;1;wizmachine/services/base>wizmachine/services/utils;3;N
CALLS;InitWorkManagerFromSprFile;wizmachine/services/base/isprworkmanagercore.cs;59;BinToStruct;wizmachine/utils/extension.cs;ISprWorkManagerCore;Extension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;InitWorkManagerFromSprFile;wizmachine/services/base/isprworkmanagercore.cs;59;Let;wizmachine/utils/extension.cs;ISprWorkManagerCore;SharpExtension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;SaveCurrentWorkToSpr;wizmachine/services/base/isprworkmanagercore.cs;81;Apply;wizmachine/utils/extension.cs;ISprWorkManagerCore;SharpExtension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;SaveCurrentWorkToSpr;wizmachine/services/base/isprworkmanagercore.cs;81;Also;wizmachine/utils/extension.cs;ISprWorkManagerCore;SharpExtension;1;wizmachine/services>wizmachine/utils;2;N
CALLS;SaveCurrentWorkToSpr;wizmachine/services/base/isprworkmanagercore.cs;81;D;wizmachine/utils/logger.cs;ISprWorkManagerCore;Logger$Raw;1;wizmachine/services>wizmachine/utils;2;N
CALLS;SaveBitmapSourceToSprFile;wizmachine/services/base/isprworkmanagercore.cs;153;ConvertBitmapSourceToByteArray;wizmachine/utils/bitmaputil.cs;ISprWorkManagerCore;BitmapUtil;1;wizmachine/services>wizmachine/utils;2;N
CALLS;SaveBitmapSourceToSprFile;wizmachine/services/base/isprworkmanagercore.cs;153;CountColors;wizmachine/utils/bitmaputil.cs;ISprWorkManagerCore;BitmapUtil;1;wizmachine/services>wizmachine/utils;2;N
CALLS;WizMachine.Services.Base.ISprWorkManagerAdvance.SetNewColorToGlobalPalette;wizmachine/services/impl/sprworkmanageradvance.cs;16;FoEach;wizmachine/utils/extension.cs;SprWorkManagerAdvance;SharpExtension;1;wizmachine/services>wizmachine/utils;2;N
