Metric;Path;Entity;Signature;LineNo;Value;Violation
NCS;wizmachine/data/sprdata.cs;op_Equality;System.Boolean WizMachine.Data.Palette.op_Equality(WizMachine.Data.Palette,WizMachine.Data.Palette);425;4;Y
NCS;wizmachine/services/base/isprworkmanagercore.cs;SaveCurrentWorkToSpr;void WizMachine.Services.Base.ISprWorkManagerCore.SaveCurrentWorkToSpr(System.String,System.Boolean);81;5;Y
NCS;wizmachine/services/impl/sprworkmanageradvance.cs;WizMachine.Services.Base.ISprWorkManagerAdvance.RemoveFrame;System.Boolean WizMachine.Services.Impl.SprWorkManagerAdvance.WizMachine.Services.Base.ISprWorkManagerAdvance.RemoveFrame(System.UInt32);146;4;Y
NCS;wizmachine/services/impl/sprworkmanageradvance.cs;WizMachine.Services.Base.ISprWorkManagerAdvance.GetDecodedBGRAData;System.Byte[] WizMachine.Services.Impl.SprWorkManagerAdvance.WizMachine.Services.Base.ISprWorkManagerAdvance.GetDecodedBGRAData(System.UInt32,out System.Collections.Generic.List<System.ValueTuple<System.Windows.Media.Color,System.Windows.Media.Color,System.Int32>>);253;4;Y
NCS;wizmachine/services/impl/sprworkmanagercore.cs;EncryptFrameData;System.Byte[] WizMachine.Services.Impl.SprWorkManagerCore.EncryptFrameData(System.Byte[],WizMachine.Data.PaletteColor[],System.UInt16,System.UInt16,System.UInt16,System.UInt16);91;5;Y
NCS;wizmachine/services/impl/sprworkmanagercore.cs;WizMachine.Services.Base.ISprWorkManagerCore.GetByteArrayFromEncryptedFrameData;System.Byte[] WizMachine.Services.Impl.SprWorkManagerCore.WizMachine.Services.Base.ISprWorkManagerCore.GetByteArrayFromEncryptedFrameData(System.Int32,System.Boolean,System.Boolean,System.Nullable<WizMachine.Data.Palette>);402;4;Y
NCS;wizmachine/services/impl/sprworkmanagercore.cs;InitDecodedFrameData;WizMachine.Data.PaletteColor[] WizMachine.Services.Impl.SprWorkManagerCore.InitDecodedFrameData(System.IO.FileStream,System.UInt32,out System.UInt16,out System.UInt16,WizMachine.Services.Impl.ColorMode,out System.UInt16,out System.UInt16,out System.Collections.Generic.Dictionary<System.Int32,System.Collections.Generic.List<System.Int64>>,out System.Byte[]);549;5;Y
NCS;wizmachine/utils/bitmaputil.cs;SelectMostUseColorFromCountableColorSource;System.Collections.Generic.List<System.Windows.Media.Color> WizMachine.Utils.BitmapUtil.SelectMostUseColorFromCountableColorSource(System.Int32,System.UInt32,System.Collections.Generic.Dictionary<System.Windows.Media.Color,System.Int64>[]);25;4;Y
NCS;wizmachine/utils/bitmaputil.cs;SelectMostUseColorFromOrderedDescendingColorSource;System.Collections.Generic.List<System.Windows.Media.Color> WizMachine.Utils.BitmapUtil.SelectMostUseColorFromOrderedDescendingColorSource(System.Collections.Generic.List<System.ValueTuple<System.Windows.Media.Color,System.Int64>>,System.Int32,System.UInt32,out System.Int32,out System.Collections.Generic.List<System.Windows.Media.Color>,out System.Collections.Generic.List<System.Windows.Media.Color>,out System.Collections.Generic.List<System.Windows.Media.Color>,System.Boolean,System.Nullable<System.Windows.Media.Color>,System.Int32,System.Int32,System.Int32);98;7;Y
NCS;wizmachine/utils/bitmaputil.cs;CountColors;void WizMachine.Utils.BitmapUtil.CountColors(System.Windows.Media.Imaging.BitmapSource,out System.Int64,out System.Int64,out System.Collections.Generic.Dictionary<System.Windows.Media.Color,System.Int64>,out System.Collections.Generic.HashSet<System.Windows.Media.Color>);280;4;Y
