Type;Signature;Path;LineNo
UNUSED_CLASS_METHOD;FoEach;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;143
UNUSED_CLASS_METHOD;CalculateRGBEuclideanDistance;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\ColorUtil.cs;25
UNUSED_CLASS_METHOD;ThrowIfNull;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;210
UNUSED_CLASS_METHOD;ConvertBitmapSourceToPaletteColorArray;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\BitmapUtil.cs;336
UNUSED_CLASS_METHOD;ConvertBitmapSourceToPaletteColorArray;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\BitmapUtil.cs;374
UNUSED_CLASS_METHOD;IfNullThenLet;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;75
UNUSED_CLASS_METHOD;IfNotNullOrEmpty;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;135
UNUSED_FUNCTION_PARAMETER;caller;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Logger.cs;61
UNUSED_CLASS_METHOD;ApplyIfNotNull;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;84
UNUSED_FUNCTION_PARAMETER;sender;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Logger.cs;27
UNUSED_CLASS_METHOD;IfIs;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;222
UNUSED_CLASS_METHOD;ThrowIfNull;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;253
UNUSED_CLASS_METHOD;IfNull;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;215
UNUSED_CLASS_METHOD;IfTrueApply;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;201
UNUSED_FUNCTION_PARAMETER;pixelData;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Services\Impl\SprWorkManagerAdvance.cs;73
UNUSED_CLASS_METHOD;CountColors;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\BitmapUtil.cs;237
UNUSED_CLASS_METHOD;ForEachNonEmptyLine;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;174
UNUSED_FUNCTION_PARAMETER;message;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Logger.cs;35
UNUSED_FUNCTION_PARAMETER;color;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Services\Impl\SprWorkManagerAdvance.cs;186
UNUSED_CLASS_METHOD;IfIsThenLet;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;243
UNUSED_CLASS_METHOD;IfFalseApply;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;192
UNUSED_CLASS_METHOD;D;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Logger.cs;35
UNUSED_CLASS_METHOD;For;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;165
UNUSED_CLASS_METHOD;IfNullOrEmpty;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;127
UNUSED_CLASS_METHOD;IfIsThenAlso;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;234
UNUSED_CLASS_METHOD;FoEach;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;155
UNUSED_CLASS_DATA_MEMBER;pf_logger;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Services\Impl\SprWorkManagerAdvance.cs;14
UNUSED_CLASS_DATA_MEMBER;logger;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Services\Impl\SprWorkManagerCore.cs;15
UNUSED_CLASS_METHOD;AreByteArraysEqual;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\BitmapUtil.cs;482
UNUSED_CLASS_METHOD;ForEachLine;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Extension.cs;183
UNUSED_FUNCTION_PARAMETER;message;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Logger.cs;61
UNUSED_FUNCTION_PARAMETER;caller;C:\Users\Hp\source\repos\users\trdhuy\ArtWiz\libs\WizMachine\WizMachine\Utils\Logger.cs;35
