Module;MCD;DEP;GM
{TOP};Y;Y;
{TOP}/data;Y;;
{TOP}/obj;Y;;
{TOP}/obj/x64;Y;;
{TOP}/obj/x64/release;Y;Y;
{TOP}/obj/x64/release/net6.0-windows;Y;;
{TOP}/services;Y;Y;
{TOP}/services/base;Y;;
{TOP}/services/impl;Y;;
{TOP}/services/utils;Y;;
{TOP}/utils;Y;;
{TOP}\wizmachine;;;Y
{TOP}\wizmachine/data;;;Y
{TOP}\wizmachine/obj/x64/release/net6.0-windows;;;Y
{TOP}\wizmachine/services/base;;;Y
{TOP}\wizmachine/services/impl;;;Y
{TOP}\wizmachine/services/utils;;;Y
{TOP}\wizmachine/utils;;;Y
