101;LOC_METHOD;Number of lines of code in the method or function,calculated as (last line number) - (first line number) + 1
102;CYCLOMATIC;Cyclomatic complexity (McCabe Cyclomatic Complexity metric)shows the number of areas plane is divided by control flow graph
103;NOPARMS;Number of parameters (arguments) in the function or method.
104;MAXLEVEL;Maximum level of nested control statements(if, switch, for, while, and do-while statements).The initial MAXLEVEL (for example, a function with no operators) is equal to 1.
105;NCNBLOC_METHOD;the number of lines of code in a function or method,not including comment lines and blank lines
106;NOFANIN;Number of functions in the source files loaded into the project which call or read the function, either directly or through function pointers.
107;NOFANOUT;Number of functions which are called or read by the function,either directly or through function pointers.
108;NOLOOPS;Number of for, while, and do-while statements in the current function
109;NOIF;Number of if and switch statements in the current function(if, else if, switch)
110;NOBRANCH;Number of else and case statements in the current function.Default statements are not included. (else, else if, case)
111;NOGLOVARUSED;Number of global variables set and/or read by the function.
112;NOSTATICVARUSED;Number of static variables set and/or read by the function.
113;NORET;Number of return statements in the function (not return points)
114;CLOC_METHOD;Number of comment lines in a method
115;NOOVERLOADFUNC;Number of overload functions in a file or class
116;MAXDEPTH;Maximum depth level of function
117;USERANK;The importance level based on the usage information (Refer the PageRank Algorithm : http://www.sirgroane.net/google-page-rank/)
119;NOCONTINUE;Number of continue statement in the function (unstructured control flow statement)
120;NOGOTO;Number of goto statement in the function (unstructured control flow statement)
121;NOIFWOELSE;Number of if statement with else if and without else. (This is consistent with the requirement to have a final defaultcalusein a switch statement)
122;NOSWITCHWODEFAULT;Number of switch statement without default statement
123;NOBITWISEWTSIGNED;Number of bitwise operation which performs on signed operands
124;NOEMPTYDEFAULT;Number of empty 'default' clauses in a 'switch' statement
125;FURACOMPSTATEMENT;Ratio of the complex lines to the total line in the function (Threshold: 3)
126;NOLONGIDENTIFIERS;Number of long identifiers more than threshold (31)
127;NOMIXEDOPERATORS;Number of Increment(++) and decrement(--) operators which are used with other operators
128;FURALONGLINES;Ratio of the lines to the total lines in the function more than threshold (80)
129;NOMERGEDLINES;Number of merged lines can be separated with multiple lines
130;NOUNUSEDPARAMS;Number of unused function parameters
131;NOUNUSEDVARS;Number of unused local variables
132;NOATFUNCTIONS;Number of atof, atoi, atol functions, which convert strings to numbers in the file
133;MODIFIEDCYCLOMATIC;Consider a switch as a whole block(instead of case as whole block)
134;MAXLEVEL_HIS;Depth of nesting of a function
135;LOC_METHODBODY;Number of lines of code in the method or function body
136;STRICTCYCLOMATIC;CYCLOMATIC + || and &&
137;COGNITIVECYCLOMATIC;Sonarqube complexity
138;TOKEN_METHOD;number of tokens
139;NANCNBLOC_METHOD;the number of lines of code in a function or method, not including asserts, comment lines and blank lines
140;NNNCNBLOC_METHOD;the number of lines of code in a function or method, not including local classes, comment lines and blank lines
141;NANNNCNBLOC_METHOD;the number of lines of code in a function or method, not including asserts, local classes, comment lines and blank lines
142;NCTOKEN_METHOD;Number of non-comment tokens
143;CTOKEN_METHOD;Number of comment tokens
144;NOLOCALS_METHOD;Number of local variables declared in function
198;CFG;path to control flow graph
201;LOC_CLASS;number of lines of code in a class,calculated as (last line number) - (first line number) + 1
202;NOMETH;Number of methods defined in the current class.Inherited methods are not counted.
203;NOPRIVDATADEC;Number of private attributes(private data fields) for a class.
204;NOPROTDATADECL;Number of protected attributes(protected data fields) for a class.
205;NOPUBDATADECL;Number of public attributes(public data fields) for a class.
206;NOSTDATADECL;Number of static attributes(static data fields) for a class.
207;NOPRIVMETH;Number of private methods in a class.
208;NOPROTMETH;Number of protected methods in a class.
209;NOPUBMETH;Number of public methods in a class.
210;NOPTRDECL;Number of pointer data items declared in the class.
211;NOVIRTMETH;Number of pure virtual methods in the class
212;NCNBLOC_CLASS;The number of lines of code in a class, not including comment lines and blank lines.
213;AVGCOMPMETH;Average cyclomatic complexity for class methods.
